number,survey,category_1,category_2
1,Penilaian Terhadap Peran Bisnis dalam Menjaga Etika dan Nilai-Nilai Keagamaan,Bisnis dan Industri,Agama dan Kepercayaan
2,Tinjauan terhadap Dampak Faktor Keuangan terhadap Kesehatan Mental dan Kesejahteraan Emosional Individu,Keuangan,Kesehatan
3,Penilaian Tingkat Literasi Keuangan di Kalangan Masyarakat,Keuangan,Keuangan
4,Pengaruh Pengetahuan tentang Sistem Transportasi dan Logistik terhadap Keselamatan dan Efisiensi: Studi Kasus pada Program Pendidikan Transportasi dan Logistik,Pendidikan,Transportasi dan Logistik
5,Persepsi Masyarakat tentang Kebutuhan dan Tantangan dalam Mengadopsi Transportasi dan Logistik Ramah Lingkungan,Lingkungan dan Konservasi,Transportasi dan Logistik
6,Dampak Praktik Keagamaan terhadap Perlindungan dan Konservasi Sumber Daya Alam,Lingkungan dan Konservasi,Agama dan Kepercayaan
7,Dampak Ekonomi Industri Seni dan Budaya terhadap Bisnis dan Industri Lainnya,Seni dan Budaya,Bisnis dan Industri
8,Persepsi dan Preferensi Konsumen terhadap Produk Kesehatan dan Kebugaran dalam Industri Retail: Survei pada Pelanggan di Toko-toko Kesehatan,Kesehatan,Bisnis dan Industri
9,Aspek Hukum dalam Pengelolaan Galeri Seni dan Museum,Seni dan Budaya,Hukum
10,Persepsi dan Pemanfaatan Teknologi Informasi dan Komunikasi oleh Pelaku Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi,Pertanian dan Perikanan
11,Pengaruh Teknologi Informasi dan Komunikasi dalam Perubahan Pola Konsumsi dan Pembelian Online,Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi
12,Dampak Kegiatan Seni dan Budaya terhadap Pendidikan Karakter,Seni dan Budaya,Pendidikan
13,Persepsi Masyarakat terhadap Bisnis yang Terkait dengan Industri Olahraga dan Rekreasi,Olahraga dan Rekreasi,Bisnis dan Industri
14,Pengaruh Perubahan Iklim terhadap Pertanian dan Perikanan serta Upaya Konservasi,Lingkungan dan Konservasi,Pertanian dan Perikanan
15,Persepsi Wisatawan terhadap Konservasi Budaya dan Keagamaan di Destinasi Pariwisata,Pariwisata,Agama dan Kepercayaan
16,Evaluasi Kesehatan Petani dan Nelayan: Tinjauan tentang Dampak Kondisi Kerja dan Lingkungan Pertanian dan Perikanan terhadap Kesehatan Masyarakat,Kesehatan,Pertanian dan Perikanan
17,Kontribusi Masyarakat dalam Upaya Konservasi Lingkungan,Lingkungan dan Konservasi,Lingkungan dan Konservasi
18,Pemanfaatan Seni dan Budaya sebagai Sarana Komunikasi dalam Mendorong Inovasi Pertanian dan Perikanan,Seni dan Budaya,Pertanian dan Perikanan
19,Peran Teknologi Informasi dan Komunikasi dalam Meningkatkan Aksesibilitas Informasi bagi Masyarakat,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
20,Penilaian Kepuasan Siswa terhadap Layanan Bimbingan dan Konseling di Sekolah,Pendidikan,Pendidikan
21,Persepsi Masyarakat terhadap Kontribusi Transportasi dalam Pelestarian Lingkungan Hidup,Transportasi dan Logistik,Lingkungan dan Konservasi
22,Analisis Dampak Kebijakan Hukum terhadap Keadilan dan Perlindungan Hak Asasi Manusia,Politik dan Pemerintahan,Hukum
23,Evaluasi Dampak Ekonomi dan Keuangan dari Kegiatan Konservasi Lingkungan,Keuangan,Lingkungan dan Konservasi
24,Persepsi Masyarakat terhadap Pendidikan dan Pelatihan di Sektor Pariwisata,Pariwisata,Pendidikan
25,Pengaruh Hukum terhadap Kebebasan Ekspresi dalam Seni Kontemporer: Studi Kasus tentang Batasan dan Perlindungan Hukum dalam Karya Seni yang Kontroversial,Hukum,Seni dan Budaya
26,Evaluasi Kurikulum Pendidikan Bisnis: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Bisnis dalam Konteks Dunia Kerja,Pendidikan,Bisnis dan Industri
27,Pengelolaan Keuangan Pribadi dan Dukungan untuk Partisipasi dalam Aktivitas Olahraga dan Rekreasi,Olahraga dan Rekreasi,Keuangan
28,Persepsi Masyarakat terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Mengapresiasi Seni dan Budaya,Seni dan Budaya,Teknologi Informasi dan Komunikasi
29,Peran Agama dan Kepercayaan dalam Pengalaman Pariwisata di Destinasi Spiritual,Pariwisata,Agama dan Kepercayaan
30,Survei Kepuasan Masyarakat terhadap Akses dan Penggunaan Teknologi Informasi,Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi
31,"Persepsi Masyarakat terhadap Keterkaitan Seni, Budaya, Politik, dan Pemerintahan dalam Konteks Keberlanjutan Kultural",Seni dan Budaya,Politik dan Pemerintahan
32,Survei Tentang Peran Agama dalam Olahraga dan Rekreasi Masyarakat,Agama dan Kepercayaan,Olahraga dan Rekreasi
33,Analisis Dampak Industri Farmasi terhadap Aksesibilitas dan Affordabilitas Obat,Bisnis dan Industri,Kesehatan
34,Penerapan Teknologi Informasi dan Komunikasi dalam Pengelolaan Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi,Pertanian dan Perikanan
35,Evaluasi Efektivitas Regulasi Hukum dalam Pengelolaan Sumber Daya Pertanian dan Perikanan yang Berkelanjutan,Hukum,Pertanian dan Perikanan
36,Persepsi Masyarakat tentang Pengelolaan Keuangan Rumah Tangga dan Kesejahteraan Sosial,Sosial dan Kemanusiaan,Keuangan
37,Pengetahuan dan Sikap Masyarakat tentang Kesehatan dan Keamanan Wisata: Survei pada Penduduk Lokal di Destinasi Pariwisata di Malang,Kesehatan,Pariwisata
38,Tinjauan tentang Peran Keuangan dalam Pengembangan Infrastruktur Pariwisata dan Peningkatan Daya Saing Destinasi,Pariwisata,Keuangan
39,Pengaruh Agama dan Kepercayaan terhadap Pemahaman dan Praktik Kesehatan Masyarakat: Studi Kasus pada Komunitas Beragama,Kesehatan,Agama dan Kepercayaan
40,Penilaian Dampak Pariwisata terhadap Pertumbuhan Ekonomi dan Keuangan Lokal,Pariwisata,Keuangan
41,Tinjauan terhadap Perlindungan Hukum terhadap Karya Seni dan Hak Kekayaan Intelektual: Persepsi dan Pengalaman Pelaku Seni dan Budaya terkait Perlindungan Hukum dalam Industri Seni,Hukum,Seni dan Budaya
42,Studi Tentang Kepercayaan Agama dan Partisipasi Masyarakat dalam Aksi Kemanusiaan,Agama dan Kepercayaan,Sosial dan Kemanusiaan
43,Analisis Dampak Kebijakan Keuangan terhadap Pertumbuhan dan Keberlanjutan Sektor Pertanian dan Perikanan,Keuangan,Pertanian dan Perikanan
44,Evaluasi Kurikulum Pendidikan Sosial: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Sosial dalam Konteks Kemanusiaan,Pendidikan,Sosial dan Kemanusiaan
45,Perlindungan Hukum terhadap Keamanan dan Kesehatan Peserta Olahraga dan Rekreasi,Olahraga dan Rekreasi,Hukum
46,Peran Transportasi dan Logistik dalam Pengembangan Infrastruktur Olahraga dan Rekreasi,Olahraga dan Rekreasi,Transportasi dan Logistik
47,Analisis Dampak Transportasi dan Logistik dalam Bantuan Bencana dan Penanggulangan Krisis,Transportasi dan Logistik,Sosial dan Kemanusiaan
48,Penggunaan Teknologi Informasi dan Komunikasi oleh Wisatawan dalam Perencanaan Perjalanan,Pariwisata,Teknologi Informasi dan Komunikasi
49,Partisipasi Masyarakat dalam Pelestarian Lingkungan dalam Konteks Pariwisata,Pariwisata,Lingkungan dan Konservasi
50,Studi Tentang Tantangan dan Inovasi dalam Pengembangan Aplikasi dan Layanan Digital dalam Transportasi,Transportasi dan Logistik,Teknologi Informasi dan Komunikasi
51,Pengaruh Faktor Sosial terhadap Kesejahteraan dan Kehidupan Masyarakat,Sosial dan Kemanusiaan,Sosial dan Kemanusiaan
52,Penilaian Terhadap Peran Pemerintah dalam Mempromosikan Kesetaraan Gender dan Perlindungan Anak,Politik dan Pemerintahan,Sosial dan Kemanusiaan
53,Persepsi Wisatawan tentang Destinasi Pariwisata sebagai Tempat Olahraga dan Rekreasi,Pariwisata,Olahraga dan Rekreasi
54,Survei Kepuasan Masyarakat terhadap Kebijakan Lingkungan dan Keberlanjutan,Politik dan Pemerintahan,Lingkungan dan Konservasi
55,Survei Dampak Sektor Pertanian dan Perikanan terhadap Pemberdayaan Masyarakat Lokal,Pertanian dan Perikanan,Sosial dan Kemanusiaan
56,Penilaian Terhadap Efisiensi dan Keamanan Transaksi Keuangan dalam Transportasi,Transportasi dan Logistik,Keuangan
57,Analisis Dampak Infrastruktur Transportasi terhadap Mobilitas dan Aksesibilitas Pendidikan,Transportasi dan Logistik,Pendidikan
58,Analisis Dampak Industri Olahraga dalam Pariwisata dan Ekonomi Lokal,Bisnis dan Industri,Olahraga dan Rekreasi
59,Analisis Kontribusi Komunitas Keagamaan dalam Pemberdayaan Petani dan Nelayan,Pertanian dan Perikanan,Agama dan Kepercayaan
60,Evaluasi Penawaran Seni dan Budaya di Destinasi Pariwisata,Pariwisata,Seni dan Budaya
61,Evaluasi Peran Lembaga Keagamaan dalam Meningkatkan Kesadaran dan Perilaku Hidup Sehat: Tinjauan pada Program Kesehatan Komunitas,Kesehatan,Agama dan Kepercayaan
62,Analisis Dampak Perubahan Mata Uang terhadap Pariwisata dan Implikasinya terhadap Keuangan Destinasi,Keuangan,Pariwisata
63,Evaluasi Perlindungan Hukum terhadap Hak-hak Minoritas Agama: Persepsi dan Pengalaman Komunitas Agama Minoritas dalam Konteks Hukum dan Keadilan,Hukum,Agama dan Kepercayaan
64,Persepsi Masyarakat Terhadap Peran Agama dalam Sistem Peradilan,Agama dan Kepercayaan,Hukum
65,Evaluasi Kualitas Layanan Kesehatan dalam Industri Farmasi: Persepsi Pelanggan dan Implikasinya terhadap Kesehatan Masyarakat,Kesehatan,Bisnis dan Industri
66,Pengaruh Seni dan Budaya terhadap Kesejahteraan Emosional,Seni dan Budaya,Kesehatan
67,Studi Tentang Pengaruh Agama dalam Pengaturan Perjalanan Ibadah,Agama dan Kepercayaan,Transportasi dan Logistik
68,Survei Partisipasi Masyarakat dalam Kegiatan Olahraga dan Rekreasi di Lingkungan Pertanian dan Perikanan,Pertanian dan Perikanan,Olahraga dan Rekreasi
69,Kontribusi Teknologi Informasi dan Komunikasi dalam Efisiensi dan Aksesibilitas Sistem Peradilan,Teknologi Informasi dan Komunikasi,Hukum
70,Penilaian Terhadap Peran Pemerintah dalam Mendorong Investasi dan Pembangunan Ekonomi,Politik dan Pemerintahan,Keuangan
71,Penilaian Terhadap Peran Agama dalam Layanan Transportasi Publik,Agama dan Kepercayaan,Transportasi dan Logistik
72,Dampak Pariwisata terhadap Kebudayaan dan Kehidupan Sosial Masyarakat Lokal di Destinasi Wisata,Sosial dan Kemanusiaan,Pariwisata
73,Persepsi Masyarakat tentang Hubungan antara Lingkungan dan Konservasi dengan Aktivitas Olahraga dan Rekreasi,Lingkungan dan Konservasi,Olahraga dan Rekreasi
74,Dampak Transportasi dan Logistik terhadap Ketersediaan dan Distribusi Barang Penting bagi Kesejahteraan Masyarakat,Sosial dan Kemanusiaan,Transportasi dan Logistik
75,Analisis Dampak Industri terhadap Pemanasan Global dan Perubahan Iklim,Bisnis dan Industri,Lingkungan dan Konservasi
76,Preferensi dan Partisipasi dalam Aktivitas Olahraga dan Rekreasi di Destinasi Pariwisata,Olahraga dan Rekreasi,Pariwisata
77,Analisis Peluang dan Tantangan dalam Pengembangan Pariwisata Bertema Pertanian dan Perikanan,Pertanian dan Perikanan,Pariwisata
78,Survei Sistem Transportasi dan Logistik dalam Mendukung Distribusi Produk Pertanian dan Perikanan,Pertanian dan Perikanan,Transportasi dan Logistik
79,Evaluasi Perlindungan Hukum terhadap Privasi dan Keamanan Data dalam Era Digital: Persepsi dan Pengalaman Pengguna terkait Regulasi Hukum terkait Teknologi Informasi dan Komunikasi,Hukum,Teknologi Informasi dan Komunikasi
80,Persepsi dan Pengaruh Transformasi Digital terhadap Pekerjaan dan Karier Masyarakat,Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi
81,Tinjauan atas Implementasi Program Pendidikan Berbasis Teknologi Informasi dan Komunikasi: Penilaian Efektivitas dan Persepsi Siswa tentang Penggunaan Teknologi dalam Pembelajaran,Pendidikan,Teknologi Informasi dan Komunikasi
82,Analisis Dampak Infrastruktur Transportasi terhadap Pengiriman Obat dan Logistik Medis,Transportasi dan Logistik,Kesehatan
83,Tinjauan atas Implementasi Program Pendidikan Lingkungan dalam Mempersiapkan Siswa menjadi Individu yang Peduli terhadap Konservasi Lingkungan,Pendidikan,Lingkungan dan Konservasi
84,Tinjauan atas Implementasi Program Pendidikan Pariwisata di Sekolah: Penilaian Efektivitas dan Dampak pada Pengetahuan dan Minat Siswa terhadap Industri Pariwisata,Pendidikan,Pariwisata
