user_id,kategori,history
1,Kesehatan,7.0
1,Pendidikan,4.0
1,Hukum,8.0
1,Keuangan,5.0
1,Pariwisata,7.0
1,Sosial dan Kemanusiaan,10.0
1,Lingkungan dan Konservasi,3.0
1,Teknologi Informasi dan Komunikasi,7.0
1,Olahraga dan Rekreasi,8.0
1,Seni dan Budaya,5.0
1,Agama dan Kepercayaan,4.0
1,Bisnis dan Industri,8.0
1,Politik dan Pemerintahan,8.0
1,Transportasi dan Logistik,3.0
1,Pertanian dan Perikanan,6.0
2,Kesehatan,5.0
2,Pendidikan,2.0
2,Hukum,8.0
2,Keuangan,6.0
2,Pariwisata,2.0
2,Sosial dan Kemanusiaan,5.0
2,Lingkungan dan Konservasi,1.0
2,Teknologi Informasi dan Komunikasi,10.0
2,Olahraga dan Rekreasi,6.0
2,Seni dan Budaya,9.0
2,Agama dan Kepercayaan,1.0
2,Bisnis dan Industri,10.0
2,Politik dan Pemerintahan,3.0
2,Transportasi dan Logistik,7.0
2,Pertanian dan Perikanan,4.0
3,Kesehatan,9.0
3,Pendidikan,3.0
3,Hukum,5.0
3,Keuangan,3.0
3,Pariwisata,7.0
3,Sosial dan Kemanusiaan,5.0
3,Lingkungan dan Konservasi,9.0
3,Teknologi Informasi dan Komunikasi,7.0
3,Olahraga dan Rekreasi,2.0
3,Seni dan Budaya,4.0
3,Agama dan Kepercayaan,9.0
3,Bisnis dan Industri,2.0
3,Politik dan Pemerintahan,10.0
3,Transportasi dan Logistik,9.0
3,Pertanian dan Perikanan,10.0
4,Kesehatan,5.0
4,Pendidikan,2.0
4,Hukum,4.0
4,Keuangan,7.0
4,Pariwisata,8.0
4,Sosial dan Kemanusiaan,3.0
4,Lingkungan dan Konservasi,1.0
4,Teknologi Informasi dan Komunikasi,4.0
4,Olahraga dan Rekreasi,2.0
4,Seni dan Budaya,8.0
4,Agama dan Kepercayaan,4.0
4,Bisnis dan Industri,2.0
4,Politik dan Pemerintahan,6.0
4,Transportasi dan Logistik,6.0
4,Pertanian dan Perikanan,10.0
5,Kesehatan,4.0
5,Pendidikan,6.0
5,Hukum,2.0
5,Keuangan,10.0
5,Pariwisata,2.0
5,Sosial dan Kemanusiaan,10.0
5,Lingkungan dan Konservasi,4.0
5,Teknologi Informasi dan Komunikasi,8.0
5,Olahraga dan Rekreasi,7.0
5,Seni dan Budaya,9.0
5,Agama dan Kepercayaan,8.0
5,Bisnis dan Industri,5.0
5,Politik dan Pemerintahan,2.0
5,Transportasi dan Logistik,5.0
5,Pertanian dan Perikanan,8.0
6,Kesehatan,10.0
6,Pendidikan,9.0
6,Hukum,9.0
6,Keuangan,1.0
6,Pariwisata,9.0
6,Sosial dan Kemanusiaan,7.0
6,Lingkungan dan Konservasi,9.0
6,Teknologi Informasi dan Komunikasi,8.0
6,Olahraga dan Rekreasi,1.0
6,Seni dan Budaya,8.0
6,Agama dan Kepercayaan,8.0
6,Bisnis dan Industri,3.0
6,Politik dan Pemerintahan,1.0
6,Transportasi dan Logistik,8.0
6,Pertanian dan Perikanan,3.0
7,Kesehatan,3.0
7,Pendidikan,1.0
7,Hukum,5.0
7,Keuangan,10.0
7,Pariwisata,7.0
7,Sosial dan Kemanusiaan,10.0
7,Lingkungan dan Konservasi,9.0
7,Teknologi Informasi dan Komunikasi,7.0
7,Olahraga dan Rekreasi,9.0
7,Seni dan Budaya,8.0
7,Agama dan Kepercayaan,2.0
7,Bisnis dan Industri,1.0
7,Politik dan Pemerintahan,7.0
7,Transportasi dan Logistik,7.0
7,Pertanian dan Perikanan,8.0
8,Kesehatan,5.0
8,Pendidikan,3.0
8,Hukum,8.0
8,Keuangan,6.0
8,Pariwisata,3.0
8,Sosial dan Kemanusiaan,1.0
8,Lingkungan dan Konservasi,3.0
8,Teknologi Informasi dan Komunikasi,5.0
8,Olahraga dan Rekreasi,3.0
8,Seni dan Budaya,1.0
8,Agama dan Kepercayaan,5.0
8,Bisnis dan Industri,10.0
8,Politik dan Pemerintahan,7.0
8,Transportasi dan Logistik,7.0
8,Pertanian dan Perikanan,9.0
9,Kesehatan,10.0
9,Pendidikan,10.0
9,Hukum,3.0
9,Keuangan,7.0
9,Pariwisata,1.0
9,Sosial dan Kemanusiaan,4.0
9,Lingkungan dan Konservasi,4.0
9,Teknologi Informasi dan Komunikasi,5.0
9,Olahraga dan Rekreasi,7.0
9,Seni dan Budaya,7.0
9,Agama dan Kepercayaan,4.0
9,Bisnis dan Industri,7.0
9,Politik dan Pemerintahan,3.0
9,Transportasi dan Logistik,6.0
9,Pertanian dan Perikanan,2.0
10,Kesehatan,10.0
10,Pendidikan,9.0
10,Hukum,5.0
10,Keuangan,6.0
10,Pariwisata,4.0
10,Sosial dan Kemanusiaan,10.0
10,Lingkungan dan Konservasi,7.0
10,Teknologi Informasi dan Komunikasi,9.0
10,Olahraga dan Rekreasi,7.0
10,Seni dan Budaya,1.0
10,Agama dan Kepercayaan,1.0
10,Bisnis dan Industri,9.0
10,Politik dan Pemerintahan,9.0
10,Transportasi dan Logistik,4.0
10,Pertanian dan Perikanan,9.0
11,Kesehatan,3.0
11,Pendidikan,7.0
11,Hukum,6.0
11,Keuangan,8.0
11,Pariwisata,9.0
11,Sosial dan Kemanusiaan,5.0
11,Lingkungan dan Konservasi,1.0
11,Teknologi Informasi dan Komunikasi,3.0
11,Olahraga dan Rekreasi,10.0
11,Seni dan Budaya,8.0
11,Agama dan Kepercayaan,6.0
11,Bisnis dan Industri,8.0
11,Politik dan Pemerintahan,9.0
11,Transportasi dan Logistik,4.0
11,Pertanian dan Perikanan,1.0
12,Kesehatan,1.0
12,Pendidikan,10.0
12,Hukum,4.0
12,Keuangan,7.0
12,Pariwisata,2.0
12,Sosial dan Kemanusiaan,3.0
12,Lingkungan dan Konservasi,1.0
12,Teknologi Informasi dan Komunikasi,5.0
12,Olahraga dan Rekreasi,1.0
12,Seni dan Budaya,8.0
12,Agama dan Kepercayaan,1.0
12,Bisnis dan Industri,1.0
12,Politik dan Pemerintahan,2.0
12,Transportasi dan Logistik,2.0
