judul,category_1,category_2,the_category
Pengetahuan dan Perilaku Masyarakat tentang Pencegahan Penyakit Menular: Survei pada Penduduk Kota Tegal,Kesehatan,Kesehatan,Kesehatan & Kesehatan
Kebutuhan dan Preferensi Masyarakat terhadap Pelayanan Kesehatan: Studi Kasus pada Pasien di Puskesmas Provinsi DKI Jakarta,Kesehatan,Kesehatan,Kesehatan & Kesehatan
Faktor-faktor yang Mempengaruhi Gaya Hidup Sehat: Penelitian pada Mahasiswa Universitas Sebelas Maret,Kesehatan,Kesehatan,Kesehatan & Kesehatan
Tingkat Kesadaran dan Perilaku Masyarakat terkait Kesehatan Mental: Survei pada Penduduk Kota Surabaya,Kesehatan,Kesehatan,Kesehatan & Kesehatan
Pengetahuan dan Sikap Remaja tentang Kesehatan Reproduksi: Studi Kasus pada Siswa SMP di Pulau Sumatera,Kesehatan,Kesehatan,Kesehatan & Kesehatan
Evaluasi Program Promosi Kesehatan dalam Meningkatkan Pengetahuan dan Perubahan Perilaku: Studi Kasus pada Program Pencegahan Penyakit Jantung di RS Siloam Jakarta,Kesehatan,Kesehatan,Kesehatan & Kesehatan
Hubungan antara Lingkungan Pendidikan dan Gaya Hidup Sehat pada Siswa Sekolah Menengah: Studi Kasus pada Sekolah di Kota Kediri,Kesehatan,Pendidikan,Kesehatan & Pendidikan
Efektivitas Program Pendidikan Kesehatan dalam Meningkatkan Pengetahuan dan Perilaku Hidup Sehat Siswa Sekolah Dasar: Penelitian pada Sekolah Dasar di Kota Makassar,Kesehatan,Pendidikan,Kesehatan & Pendidikan
Peran Pendidikan Kesehatan dalam Meningkatkan Kesadaran Remaja tentang Kesehatan Mental: Survei pada Siswa SMA di Kota Serang,Kesehatan,Pendidikan,Kesehatan & Pendidikan
Pengaruh Pendidikan Kesehatan terhadap Pengetahuan dan Sikap Guru tentang Pencegahan Penyakit Menular: Studi Kasus pada Guru Sekolah Menengah di Kota Bogor,Kesehatan,Pendidikan,Kesehatan & Pendidikan
Penegakan Hukum terhadap Pelanggaran Etika Profesi Kesehatan: Studi Kasus pada Kasus Malpraktik di Indonesia,Kesehatan,Hukum,Kesehatan & Hukum
Persepsi Masyarakat tentang Kualitas Layanan Medis dan Implikasinya dalam Kasus Malpraktik: Survei pada Masyarakat di Kota Surabaya,Kesehatan,Hukum,Kesehatan & Hukum
Perlindungan Hukum terhadap Hak Privasi Pasien dalam Penggunaan Data Kesehatan: Studi Kasus di Rumah Sakit Hermina Depok,Kesehatan,Hukum,Kesehatan & Hukum
Evaluasi Kepatuhan Hukum dalam Praktik Medis: Persepsi dan Pengalaman Tenaga Kesehatan di Indonesia,Kesehatan,Hukum,Kesehatan & Hukum
Persepsi dan Pengelolaan Keuangan dalam Kesehatan Keluarga: Survei pada Pasangan Usia Produktif di Kota Palembang,Kesehatan,Keuangan,Kesehatan & Keuangan
Pengaruh Beban Biaya Kesehatan terhadap Akses dan Pemanfaatan Pelayanan Kesehatan: Studi Kasus pada Masyarakat Berpendapatan Rendah di Kota Padang,Kesehatan,Keuangan,Kesehatan & Keuangan
Pengetahuan dan Sikap Masyarakat tentang Asuransi Kesehatan: Studi Kasus pada Peserta Program Jaminan Kesehatan Nasional di Daerah Bengkulu,Kesehatan,Keuangan,Kesehatan & Keuangan
Analisis Keuangan Rumah Tangga terkait Pelayanan Kesehatan: Dampak dan Strategi Pengelolaan di Tengah Pandemi COVID-19,Kesehatan,Keuangan,Kesehatan & Keuangan
Evaluasi Dampak Ekonomi Beban Penyakit terhadap Keuangan Rumah Tangga: Studi Kasus pada Keluarga dengan Anggota yang Menderita Penyakit Kronis,Kesehatan,Keuangan,Kesehatan & Keuangan
Persepsi Wisatawan tentang Kualitas Layanan Kesehatan di Destinasi Pariwisata: Studi Kasus pada Destinasi Curug Nangka Bogor,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Pengaruh Pariwisata terhadap Kesehatan Masyarakat Lokal: Survei pada Penduduk Desa Wisata di Wilayah Dieng,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Evaluasi Protokol Kesehatan dalam Industri Pariwisata: Perspektif Wisatawan dan Pelaku Industri di Destinasi Pariwisata di Kota Bantul,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Faktor-faktor yang Mempengaruhi Keputusan Wisatawan untuk Menggunakan Jasa Pelayanan Kesehatan di Destinasi Wisata: Studi Kasus pada Wisatawan Asing di Kota Banda Aceh,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Pengetahuan dan Sikap Masyarakat tentang Kesehatan dan Keamanan Wisata: Survei pada Penduduk Lokal di Destinasi Pariwisata di Malang,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Dampak Pariwisata Medis terhadap Infrastruktur Kesehatan Lokal: Studi Kasus pada Destinasi Pariwisata Medis di Indonesia,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Pengaruh Kualitas Lingkungan Pariwisata terhadap Kesehatan Wisatawan: Studi Kasus pada Destinasi Pantai di Pelabuhan Ratu,Kesehatan,Pariwisata,Kesehatan & Pariwisata
Dampak Program Kesehatan Masyarakat dalam Meningkatkan Kesejahteraan Sosial: Studi Kasus pada Program Pemberdayaan Masyarakat di Daerah Terpencil,Kesehatan,Sosial dan Kemanusiaan,Kesehatan & Sosial dan Kemanusiaan
Persepsi dan Keterlibatan Masyarakat dalam Penanggulangan Masalah Kesehatan di Komunitas Rentan: Survei pada Kelompok Masyarakat Marginal,Kesehatan,Sosial dan Kemanusiaan,Kesehatan & Sosial dan Kemanusiaan
Kualitas Pelayanan Kesehatan dalam Penanganan Korban Bencana: Penilaian Dari Perspektif Sosial dan Kemanusiaan,Kesehatan,Sosial dan Kemanusiaan,Kesehatan & Sosial dan Kemanusiaan
Hubungan antara Kesehatan dan Kualitas Hidup Sosial dalam Kelompok Lansia: Studi Kasus pada Kelompok Lansia,Kesehatan,Sosial dan Kemanusiaan,Kesehatan & Sosial dan Kemanusiaan
Kesadaran Masyarakat tentang Dampak Lingkungan terhadap Kesehatan: Survei pada Penduduk di Wilayah Konservasi Alam,Kesehatan,Lingkungan dan Konservasi,Kesehatan & Lingkungan dan Konservasi
Pengaruh Faktor Lingkungan terhadap Kesehatan Masyarakat di Daerah Konservasi: Studi Kasus pada Komunitas Lokal,Kesehatan,Lingkungan dan Konservasi,Kesehatan & Lingkungan dan Konservasi
Persepsi dan Partisipasi Masyarakat dalam Program Kesehatan Lingkungan di Kawasan Konservasi: Survei pada Penduduk di Sekitar Hutan Lindung,Kesehatan,Lingkungan dan Konservasi,Kesehatan & Lingkungan dan Konservasi
Pengaruh Pemeliharaan Ekosistem Terhadap Kesehatan Manusia: Studi Kasus pada Program Konservasi Sungai dan Kesehatan Masyarakat,Kesehatan,Lingkungan dan Konservasi,Kesehatan & Lingkungan dan Konservasi
Penggunaan Aplikasi Kesehatan Mobile dalam Meningkatkan Perilaku Hidup Sehat: Penilaian Penggunaan dan Dampak pada Masyarakat,Kesehatan,Teknologi Informasi dan Komunikasi,Kesehatan & Teknologi Informasi dan Komunikasi
Persepsi dan Penggunaan Telemedicine dalam Pelayanan Kesehatan: Studi Kasus pada Pasien dan Tenaga Kesehatan,Kesehatan,Teknologi Informasi dan Komunikasi,Kesehatan & Teknologi Informasi dan Komunikasi
Tingkat Literasi Kesehatan Digital dalam Kalangan Masyarakat: Survei tentang Pengetahuan dan Penggunaan Teknologi Informasi dan Komunikasi untuk Kesehatan,Kesehatan,Teknologi Informasi dan Komunikasi,Kesehatan & Teknologi Informasi dan Komunikasi
Evaluasi Efektivitas Program e-Health dalam Meningkatkan Akses dan Kualitas Pelayanan Kesehatan: Pendekatan Berbasis Teknologi Informasi dan Komunikasi,Kesehatan,Teknologi Informasi dan Komunikasi,Kesehatan & Teknologi Informasi dan Komunikasi
Pengaruh Penggunaan Wearable Health Devices terhadap Perilaku Hidup Sehat: Studi Kasus pada Pengguna di Kalangan Masyarakat Umum,Kesehatan,Teknologi Informasi dan Komunikasi,Kesehatan & Teknologi Informasi dan Komunikasi
Persepsi Masyarakat tentang Manfaat Olahraga dalam Meningkatkan Kesehatan: Survei pada Peserta Program Kegiatan Olahraga,Kesehatan,Olahraga dan Rekreasi,Kesehatan & Olahraga dan Rekreasi
Pengaruh Partisipasi dalam Kegiatan Rekreasi Teratur terhadap Kesehatan Fisik dan Mental: Studi Kasus pada Peserta Klub Olahraga,Kesehatan,Olahraga dan Rekreasi,Kesehatan & Olahraga dan Rekreasi
Hubungan antara Aktivitas Fisik dan Kualitas Hidup pada Individu yang Terlibat dalam Kegiatan Olahraga dan Rekreasi: Studi Kasus pada Komunitas,Kesehatan,Olahraga dan Rekreasi,Kesehatan & Olahraga dan Rekreasi
Evaluasi Dampak Program Olahraga dan Rekreasi terhadap Penurunan Risiko Penyakit Kronis: Penilaian Efektivitas pada Peserta Program di Daerah Yogyakarta,Kesehatan,Olahraga dan Rekreasi,Kesehatan & Olahraga dan Rekreasi
Persepsi dan Partisipasi Masyarakat dalam Program Olahraga dan Rekreasi: Survei pada Komunitas di Sekitar Taman Kota Jakarta,Kesehatan,Olahraga dan Rekreasi,Kesehatan & Olahraga dan Rekreasi
Pengaruh Seni dan Budaya terhadap Kesejahteraan Mental: Studi Kasus pada Peserta Program Seni,Kesehatan,Seni dan Budaya,Kesehatan & Seni dan Budaya
Persepsi Masyarakat tentang Pengaruh Seni dan Budaya dalam Meningkatkan Kualitas Hidup dan Kesehatan,Kesehatan,Seni dan Budaya,Kesehatan & Seni dan Budaya
Evaluasi Program Pemberdayaan Masyarakat melalui Seni dalam Konteks Kesehatan Mental: Penilaian Dampak dan Partisipasi Peserta,Kesehatan,Seni dan Budaya,Kesehatan & Seni dan Budaya
Pengaruh Kegiatan Seni dan Budaya terhadap Pengelolaan Stres dan Kesehatan Psikologis: Studi Kasus pada Komunitas Seniman,Kesehatan,Seni dan Budaya,Kesehatan & Seni dan Budaya
Peran Seni dan Budaya dalam Promosi Kesehatan dan Pencegahan Penyakit: Tinjauan terhadap Inisiatif Kesehatan Berbasis Seni,Kesehatan,Seni dan Budaya,Kesehatan & Seni dan Budaya
